2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area sq mi,2016 land area sq km,2016 population density per sq mi,2016 population density per sq km,Location,Short_Description_of_City,zip-codes
188,Murfreesboro, Tennessee,"141,344","108,755",+29.97%,55.9 sq mi,144.8 km2,"2,360/sq mi",910/km2,35°51′08″N 86°24′58″W﻿ / ﻿35.8522°N 86.4160°W﻿ / 35.8522; -86.4160﻿ (Murfreesboro),"Murfreesboro is a city in, and the county seat of, Rutherford County, Tennessee, United States. The population was 108,755 according to the 2010 census, up from 68,816 residents certified in 2000. In 2017, census estimates showed a population of 136,372. The city is home to both the center of population of Tennessee, and the geographic center of Tennessee. Murfreesboro is located 34 miles  southeast of downtown Nashville in the Nashville metropolitan area of Middle Tennessee. It is Tennessee's fastest growing major city and one of the fastest growing cities in the country. Murfreesboro is also home to Middle Tennessee State University, the second largest undergraduate university in the state of Tennessee, with 22,729 total students as of fall 2014.",3712737133
189,Miramar, Florida,"140,823","122,041",+15.39%,29.4 sq mi,76.1 km2,"4,709/sq mi","1,818/km2",25°58′37″N 80°20′09″W﻿ / ﻿25.9770°N 80.3358°W﻿ / 25.9770; -80.3358﻿ (Miramar),"Miramar was founded by A.L. Mailman to serve as a ""bedroom community"" for nearby Miami and Fort Lauderdale.  Mailman bought the original property he was to develop from H.D. Perry, Sr. in 1953. He built 56 homes on the property that were inexpensive homes of concrete and flat roofs. These homes sold quickly because of the low cost of both the homes and the land, and the city of Miramar came into being.","33023, 33025, 33027, 33029"
190,Dayton, Ohio,"140,640","141,527",−0.63%,55.7 sq mi,144.3 km2,"2,522/sq mi",974/km2,39°46′39″N 84°11′59″W﻿ / ﻿39.7774°N 84.1996°W﻿ / 39.7774; -84.1996﻿ (Dayton),"Dayton  is the sixth-largest city in the state of Ohio and the county seat of Montgomery County. A small part of the city extends into Greene County. The 2017 U.S. census estimate put the city population at 140,371, while Greater Dayton was estimated to be at 803,416 residents. This makes Dayton the fourth-largest metropolitan area in Ohio and 63rd in the United States. Dayton is within Ohio's Miami Valley region, just north of Greater Cincinnati."," 4540045406, 4540845410, 4541245420, 4542245424, 4542645435, 45437, 4543945441, 4544845449, 45454, 4545845459, 4546945470, 45475, 45479, 4548145482, 45490 "
191,Fullerton, California,"139,640","135,161",+3.31%,22.4 sq mi,58.0 km2,"6,282/sq mi","2,425/km2",33°53′09″N 117°55′41″W﻿ / ﻿33.8857°N 117.9280°W﻿ / 33.8857; -117.9280﻿ (Fullerton),"Fullerton  is a city located in northern Orange County, California, United States. As of the 2010 census, the city had a total population of 135,161.",9283192832
192,Olathe, Kansas,"139,605","125,872",+10.91%,60.9 sq mi,157.7 km2,"2,225/sq mi",859/km2,38°53′03″N 94°49′10″W﻿ / ﻿38.8843°N 94.8195°W﻿ / 38.8843; -94.8195﻿ (Olathe),"Olathe was founded by Dr. John T. Barton in the spring of 1857. He rode to the center of Johnson County, Kansas and staked two quarter sections of land as the town site. He later described his ride to friends: ""...the prairie was covered with verbena and other wild flowers. I kept thinking the land was beautiful and that I should name the town Beautiful."" Purportedly, Barton asked a Shawnee interpreter how to say ""Beautiful"" in his native language. The interpreter responded, ""Olathe.""","66051,66061,66062,66063"
193,Orange, California,"139,484","136,416",+2.25%,25.4 sq mi,65.8 km2,"5,532/sq mi","2,136/km2",33°47′13″N 117°51′41″W﻿ / ﻿33.7870°N 117.8613°W﻿ / 33.7870; -117.8613﻿ (Orange),"Orange is a city located in Orange County, California. It is approximately 3 miles  north of the county seat, Santa Ana. Orange is unusual in this region because many of the homes in its Old Town District were built before 1920. While many other cities in the region demolished such houses in the 1960s, Orange decided to preserve them. The small city of Villa Park is surrounded by the city of Orange. The population was 139,812 as of 2014.",92856–92869
194,Thornton, Colorado,"139,436","118,772",+17.40%,35.7 sq mi,92.5 km2,"3,829/sq mi","1,478/km2",39°55′10″N 104°56′34″W﻿ / ﻿39.9194°N 104.9428°W﻿ / 39.9194; -104.9428﻿ (Thornton),"Thornton consisted solely of farmland until 1953 when Sam Hoffman purchased a lot off Washington Street about seven miles  north of Denver. The town he laid out was the first fully planned community in Adams County, and the first to offer full municipal services from a single tax levy, including recreation services and free trash pickup. Thornton was named in honor of Former Colorado Governor Dan Thornton."," 80221, 80229, 80233, 80241, 80260 80602"
195,Roseville, California,"139,117","118,788",+17.11%,43.0 sq mi,111.4 km2,"3,085/sq mi","1,191/km2",38°46′08″N 121°19′08″W﻿ / ﻿38.7690°N 121.3189°W﻿ / 38.7690; -121.3189﻿ (Roseville),"The settlement was originally a stage coach station called Griders. According to the Roseville Historical Society, in 1864 the Central Pacific Railroad tracks were constructed northeastward from Sacramento. The point where the tracks met the California Central Railroad line was named ""Junction"". Junction eventually became known as Roseville. In 1909, three years after the Southern Pacific Railroad moved its facilities from Rocklin to Roseville, the town became an incorporated city. What followed was a period of expansion, with the community building more than 100 structures, including what was the largest ice manufacturing plant in the world .","95678, 95661, 95747"
196,Denton, Texas,"138,541","113,383",+22.19%,93.4 sq mi,241.9 km2,"1,433/sq mi",553/km2,33°13′00″N 97°08′29″W﻿ / ﻿33.2166°N 97.1414°W﻿ / 33.2166; -97.1414﻿ (Denton),"A Texas land grant led to the formation of Denton County in 1846, and the city was incorporated in 1866. Both were named after pioneer and Texas militia captain John B. Denton. The arrival of a railroad line in the city in 1881 spurred population, and the establishment of the University of North Texas in 1890 and Texas Woman's University in 1901 distinguished the city from neighboring regions. After the construction of Dallas/Fort Worth International Airport finished in 1974, the city had more rapid growth; as of 2011, Denton was the seventh-fastest growing city with a population over 100,000 in the country.",76201–76210
197,Waco, Texas,"138,183","124,805",+10.72%,89.0 sq mi,230.5 km2,"1,510/sq mi",580/km2,31°33′36″N 97°11′10″W﻿ / ﻿31.5601°N 97.1860°W﻿ / 31.5601; -97.1860﻿ (Waco),"Indigenous peoples occupied areas along the river for thousands of years. In historic times, the area of present-day Waco was occupied by the Wichita Indian tribe known as the ""Waco"" .",7670076799
198,Surprise, Arizona,"138,161","117,517",+17.57%,107.9 sq mi,279.5 km2,"1,230/sq mi",470/km2,33°40′14″N 112°27′10″W﻿ / ﻿33.6706°N 112.4527°W﻿ / 33.6706; -112.4527﻿ (Surprise),"Surprise is a city in Maricopa County, in the U.S. state of Arizona. The population was 30,848 at the 2000 census; however, rapid expansion has boosted the city's population to 117,517 at the 2010 census, an increase of 281%. As such, it is the second-fastest-expanding municipality in the greater Phoenix metropolitan area  and, between 1990 and 2000, it was the sixth-fastest-expanding place among all cities and towns in Arizona. Census estimates in 2017 continue this accelerated growth pattern, with the population now estimated at 134,085.","85374, 8537885379, 8538785388"
199,Carrollton, Texas,"136,879","119,097",+14.93%,36.3 sq mi,94.0 km2,"3,674/sq mi","1,419/km2",32°59′18″N 96°53′59″W﻿ / ﻿32.9884°N 96.8998°W﻿ / 32.9884; -96.8998﻿ (Carrollton),"The area was first settled by Jared Ford in 1842 by William and Mary Larner on a site within the Peters Colony grant. In 1844, the A. W. Perry family claimed land in the area around Trinity Mills where, in partnership with Wade H. Witt, a mill was established.","75006, 75007, 75010, 75011"
200,West Valley City, Utah,"136,401","129,480",+5.35%,35.5 sq mi,91.9 km2,"3,847/sq mi","1,485/km2",40°41′19″N 112°00′42″W﻿ / ﻿40.6885°N 112.0118°W﻿ / 40.6885; -112.0118﻿ (West Valley City),The earliest known residents of the western Salt Lake Valley were Native American bands of the Ute and Shoshoni tribes.,
201,Charleston, South Carolina,"136,208","120,083",+13.43%,109.0 sq mi,282.3 km2,"1,233/sq mi",476/km2,32°49′04″N 79°57′32″W﻿ / ﻿32.8179°N 79.9590°W﻿ / 32.8179; -79.9590﻿ (Charleston),"Charleston is the oldest and largest city in the U.S. state of South Carolina, the county seat of Charleston County, and the principal city in the Charleston–North Charleston–Summerville Metropolitan Statistical Area. The city lies just south of the geographical midpoint of South Carolina's coastline and is located on Charleston Harbor, an inlet of the Atlantic Ocean formed by the confluence of the Ashley, Cooper, and Wando rivers. Charleston had an estimated population of 134,875 in 2017. The estimated population of the Charleston metropolitan area, comprising Berkeley, Charleston, and Dorchester counties, was 761,155 residents in 2016, the third-largest in the state and the 78th-largest metropolitan statistical area in the United States.","29401, 29403, 29405, 29407, 29409, 29412, 29414, 29424, 29425, 29455, 29492"
202,Warren, Michigan,"134,587","134,056",+0.40%,34.4 sq mi,89.1 km2,"3,928/sq mi","1,517/km2",42°29′34″N 83°01′30″W﻿ / ﻿42.4929°N 83.0250°W﻿ / 42.4929; -83.0250﻿ (Warren),"Beebe's Corners, the original settlement in what would become the city of Warren, was founded in 1830 at the corner of Mound Road and Chicago Road; its first resident was Charles Groesbeck.  Beebe's Corners was a carriage stop between Detroit and Utica, and included a distillery, mill, tavern, and trading post.  It was not until 1837 that the now-defunct Warren Township was organized around the settlement, first under the name Hickory, then renamed Aba in April 1838, and finally renamed Warren shortly thereafter.  It was named for War of 1812 veteran, and frontier cleric, Rev. Abel Warren.  However, when it was originally organized the township was named for Rev. Warren who was a Methodist Episcopal preacher who left his native New York in 1824 for Shelby Township.  He went throughout the present-day Macomb, Lapeer, Oakland, and St. Clair Counties, baptizing, marrying, and burying pioneers of the area, as well as establishing congregations and preaching extensively.  He was the first licensed preacher in the State of Michigan.","48088, 48089, 48090, 48091, 48092, 48093, 48397"
203,Hampton[m], Virginia,"134,313","137,436",−2.27%,51.5 sq mi,133.4 km2,"2,629/sq mi","1,015/km2",37°02′53″N 76°17′50″W﻿ / ﻿37.0480°N 76.2971°W﻿ / 37.0480; -76.2971﻿ (Hampton),"Hampton is an independent city in the Commonwealth of Virginia in the United States. As of the 2010 census, the population was 137,438.",
204,Gainesville, Florida,"133,857","124,354",+7.64%,62.3 sq mi,161.4 km2,"2,112/sq mi",815/km2,29°40′44″N 82°20′46″W﻿ / ﻿29.6788°N 82.3461°W﻿ / 29.6788; -82.3461﻿ (Gainesville),"Gainesville is the county seat and largest city in Alachua County, Florida, United States, and the principal city of the Gainesville, Florida Metropolitan Statistical Area . The population of Gainesville in the 2017 US Census estimates was 132,249, a 6.4% growth from 2010. Gainesville is the largest city in the region of North Central Florida. It is also a component of the Gainesville-Lake City Combined Statistical Area, which had a 2013 population of 337,925.","32601–32614, 32627, 32635, 32641, 32653"
205,Visalia, California,"133,800","124,442",+7.52%,37.5 sq mi,97.1 km2,"3,495/sq mi","1,349/km2",36°19′38″N 119°19′44″W﻿ / ﻿36.3273°N 119.3289°W﻿ / 36.3273; -119.3289﻿ (Visalia),"Visalia  is a city situated in the agricultural San Joaquin Valley of California, approximately 230 miles  southeast of San Francisco, 190 miles  north of Los Angeles, 36 miles  west of Sequoia National Park and 43 miles  south of Fresno. The population was 130,104 as of a 2015 U.S. Census Bureau estimate.","9327793279, 9329093292"
206,Coral Springs, Florida,"133,507","121,096",+10.25%,23.8 sq mi,61.6 km2,"5,465/sq mi","2,110/km2",26°16′15″N 80°15′33″W﻿ / ﻿26.2707°N 80.2593°W﻿ / 26.2707; -80.2593﻿ (Coral Springs),"Coral Springs, officially the City of Coral Springs, is a city in Broward County, Florida, United States, approximately 20 miles  northwest of Fort Lauderdale. As of the 2010 United States Census, the city had a population of 121,096. It is a principal city of the Miami metropolitan area, which was home to an estimated 6,012,331 people at the 2015 census.","33065, 33067, 33071, 33073, 33075, 33076, 33077"
207,Columbia, South Carolina,"133,451","129,272",+3.23%,133.5 sq mi,345.8 km2,"1,006/sq mi",388/km2,34°01′45″N 80°53′53″W﻿ / ﻿34.0291°N 80.8980°W﻿ / 34.0291; -80.8980﻿ (Columbia),"Columbia is the capital and second largest city of the U.S. state of South Carolina, with a population estimate of 134,309 as of 2016. The city serves as the county seat of Richland County, and a portion of the city extends into neighboring Lexington County. It is the center of the Columbia metropolitan statistical area, which had a population of 767,598 as of the 2010 United States Census, growing to 817,488 by July 1, 2016, according to 2015 U.S. Census estimates. The name Columbia is a poetic term used for the United States, originating from the name of Christopher Columbus.","29201, 292036, 2920910, 29212, 29223, 29225, 29229"
